Date,State,Industry Sector Category,Residential
10/15/2018,SD,Full-Service Providers,11.59
10/22/2018,TN,Full-Service Providers,10.71
10/29/2018,TX,Full-Service Providers,11.20
11/5/2018,UT,Full-Service Providers,10.41
11/12/2018,VA,Full-Service Providers,11.73
11/19/2018,VT,Full-Service Providers,18.02
11/26/2018,WA,Full-Service Providers,9.75
12/3/2018,WI,Full-Service Providers,14.02
12/10/2018,WV,Full-Service Providers,11.18
12/17/2018,WY,Full-Service Providers,11.29
2018,CA,Restructured Retail Service Providers,21.56
2018,CT,Restructured Retail Service Providers,22.42
2018,DC,Restructured Retail Service Providers,15.15
2018,DE,Restructured Retail Service Providers,14.49
2018,IL,Restructured Retail Service Providers,13.06
2018,MA,Restructured Retail Service Providers,23.12
2018,MD,Restructured Retail Service Providers,14.86
2018,ME,Restructured Retail Service Providers,18.74
2018,MI,Restructured Retail Service Providers,15.59
2018,MT,Restructured Retail Service Providers,11.67
2018,NH,Restructured Retail Service Providers,21.19
2018,NJ,Restructured Retail Service Providers,16.88
2018,NV,Restructured Retail Service Providers,0.00
2018,NY,Restructured Retail Service Providers,21.22
2018,OH,Restructured Retail Service Providers,12.79
2018,OR,Restructured Retail Service Providers,0.00
2018,PA,Restructured Retail Service Providers,15.31
2018,RI,Restructured Retail Service Providers,22.22
2018,VA,Restructured Retail Service Providers,0.00
2018,WA,Restructured Retail Service Providers,0.00
2018,US,Restructured Retail Service Providers,16.30
2018,CA,Energy-Only Providers,6.69
2018,CT,Energy-Only Providers,9.89
2018,DC,Energy-Only Providers,10.90
2018,DE,Energy-Only Providers,9.08
2018,IL,Energy-Only Providers,7.59
2018,MA,Energy-Only Providers,12.21
2018,MD,Energy-Only Providers,9.58
2018,ME,Energy-Only Providers,10.28
2018,MI,Energy-Only Providers,8.50
2018,MT,Energy-Only Providers,6.67
2018,NH,Energy-Only Providers,11.25
2018,NJ,Energy-Only Providers,12.24
2018,NV,Energy-Only Providers,0.00
2018,NY,Energy-Only Providers,9.55
2018,OH,Energy-Only Providers,6.17
2018,OR,Energy-Only Providers,0.00
2018,PA,Energy-Only Providers,8.78
2018,RI,Energy-Only Providers,11.77
2018,VA,Energy-Only Providers,0.00
2018,WA,Energy-Only Providers,0.00
2018,US,Energy-Only Providers,8.35
2018,CA,Delivery-Only Service,14.87
2018,CT,Delivery-Only Service,12.53
2018,DC,Delivery-Only Service,4.25
2018,DE,Delivery-Only Service,5.40
